#############NEW RUN STARTED#############
#############NEW RUN STARTED#############
rx_layout1046.csv rx_layout1083.csv 0.394393187063
rx_layout1046.csv rx_layout1089.csv 0.441249099654
rx_layout1046.csv rx_layout1094.csv 0.483770184282
rx_layout1046.csv rx_layout1107.csv 0.412881374154
rx_layout1046.csv rx_layout1109.csv 0
rx_layout1046.csv rx_layout1121.csv 0.417542797592
rx_layout1047.csv rx_layout100.csv 0.386975726361
rx_layout1047.csv rx_layout1002.csv 0.435860466258
rx_layout1047.csv rx_layout1003.csv 0.385587233718
rx_layout1047.csv rx_layout1004.csv 0
rx_layout1047.csv rx_layout1005.csv 0
rx_layout1047.csv rx_layout1013.csv 0
rx_layout1047.csv rx_layout1014.csv 0
rx_layout1047.csv rx_layout1016.csv 0
rx_layout1047.csv rx_layout104.csv 0.355920378876
rx_layout1047.csv rx_layout1044.csv 0
rx_layout1047.csv rx_layout1046.csv 0
rx_layout1047.csv rx_layout1047.csv 1.0
rx_layout1047.csv rx_layout1059.csv 0
rx_layout1047.csv rx_layout1063.csv 0
rx_layout1047.csv rx_layout1066.csv 0
rx_layout1047.csv rx_layout1074.csv 0
rx_layout1047.csv rx_layout1075.csv 0
rx_layout1047.csv rx_layout1077.csv 0.392280520106
rx_layout1047.csv rx_layout1080.csv 0
rx_layout1047.csv rx_layout1083.csv 0.368860711796
rx_layout1047.csv rx_layout1089.csv 0
rx_layout1047.csv rx_layout1094.csv 0
rx_layout1047.csv rx_layout1107.csv 0
rx_layout1047.csv rx_layout1109.csv 0
rx_layout1047.csv rx_layout1121.csv 0
rx_layout1059.csv rx_layout100.csv 0.420588687543
rx_layout1059.csv rx_layout1002.csv 0
rx_layout1059.csv rx_layout1003.csv 0
rx_layout1059.csv rx_layout1004.csv 0.329153905243
rx_layout1059.csv rx_layout1005.csv 0
rx_layout1059.csv rx_layout1013.csv 0.496748608513
rx_layout1059.csv rx_layout1014.csv 0.299336423293
rx_layout1059.csv rx_layout1016.csv 0
rx_layout1059.csv rx_layout104.csv 0.39114265126
rx_layout1059.csv rx_layout1044.csv 0.443483229637
rx_layout1059.csv rx_layout1046.csv 0.618990516184
rx_layout1059.csv rx_layout1047.csv 0
rx_layout1059.csv rx_layout1059.csv 1.0
rx_layout1059.csv rx_layout1063.csv 0.619314630254
rx_layout1059.csv rx_layout1066.csv 0.586131883169
rx_layout1059.csv rx_layout1074.csv 0.451409618425
rx_layout1059.csv rx_layout1075.csv 0.451409618425
rx_layout1059.csv rx_layout1077.csv 0.462226649666
rx_layout1059.csv rx_layout1080.csv 0.557013899316
rx_layout1059.csv rx_layout1083.csv 0.452324439422
rx_layout1059.csv rx_layout1089.csv 0.48866496282
rx_layout1059.csv rx_layout1094.csv 0.479563465484
rx_layout1059.csv rx_layout1107.csv 0.492553034475
rx_layout1059.csv rx_layout1109.csv 0
rx_layout1059.csv rx_layout1121.csv 0.399065865928
rx_layout1063.csv rx_layout100.csv 0.416195335819
rx_layout1063.csv rx_layout1002.csv 0
rx_layout1063.csv rx_layout1003.csv 0
rx_layout1063.csv rx_layout1004.csv 0.317793251671
rx_layout1063.csv rx_layout1005.csv 0
rx_layout1063.csv rx_layout1013.csv 0.451466873559
rx_layout1063.csv rx_layout1014.csv 0.288811902676
rx_layout1063.csv rx_layout1016.csv 0
rx_layout1063.csv rx_layout104.csv 0.45053609635
rx_layout1063.csv rx_layout1044.csv 0.456710225019
rx_layout1063.csv rx_layout1046.csv 0.941789378374
rx_layout1063.csv rx_layout1047.csv 0
rx_layout1063.csv rx_layout1059.csv 0.620725064861
rx_layout1063.csv rx_layout1063.csv 1.0
rx_layout1063.csv rx_layout1066.csv 0.538556560261
rx_layout1063.csv rx_layout1074.csv 0.432541903002
rx_layout1063.csv rx_layout1075.csv 0.432541903002
rx_layout1063.csv rx_layout1077.csv 0.444672335537
rx_layout1063.csv rx_layout1080.csv 0.497043499306
rx_layout1063.csv rx_layout1083.csv 0.404273880626
rx_layout1063.csv rx_layout1089.csv 0.425873243771
rx_layout1063.csv rx_layout1094.csv 0.491504760723
rx_layout1063.csv rx_layout1107.csv 0.399533853285
rx_layout1063.csv rx_layout1109.csv 0
rx_layout1063.csv rx_layout1121.csv 0.402396389249
rx_layout1066.csv rx_layout100.csv 0.421897067614
rx_layout1066.csv rx_layout1002.csv 0
rx_layout1066.csv rx_layout1003.csv 0
rx_layout1066.csv rx_layout1004.csv 0.358789085347
rx_layout1066.csv rx_layout1005.csv 0
rx_layout1066.csv rx_layout1013.csv 0.404202493235
rx_layout1066.csv rx_layout1014.csv 0.301357536516
rx_layout1066.csv rx_layout1016.csv 0
